task	human_success_rate	best_published_agent_success_rate	human_source	best_agent_source	source_version_match	metric	absence_or_comparability_note
email-inbox-reply	0.91	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
email-inbox-star-reply	0.95	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
enter-date	0.97	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
enter-password	0.96	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
enter-text	0.98	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
enter-text-2	0.91	0.98	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
enter-text-dynamic	0.97	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
enter-time	0.98	0.97	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
find-greatest					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
find-midpoint	0.94	0.97	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
find-word	0.96	0.88	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
focus-text	1.00	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
focus-text-2	0.99	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
form-sequence					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
form-sequence-2					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
form-sequence-3					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
generate-number					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
grid-coordinate	0.87	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
guess-number	0.99	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
highlight-text	0.97	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
highlight-text-2	0.97	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
hot-cold					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
identify-shape	0.98	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
login-user	0.96	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
login-user-popup	0.94	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
multi-layouts	0.95	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
multi-orderings	0.96	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
navigate-tree	0.98	0.99	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
number-checkboxes	0.96	0.99	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
odd-or-even					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
order-food					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
phone-book					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
read-table	0.97	0.97	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
read-table-2	0.95	0.94	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
resize-textarea	0.94	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
right-angle	0.87	0.98	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
scroll-text	0.97	0.96	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
scroll-text-2	0.97	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
search-engine	0.97	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
sign-agreement					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
simple-algebra	0.86	0.75	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
simple-arithmetic	0.96	0.86	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
social-media	0.96	0.90	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
social-media-all	0.89	0.75	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
social-media-some	0.91	0.85	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
stock-market					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
terminal	0.88	-0.01	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
text-editor	0.88	0.98	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
text-transform	0.86	0.60	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
tic-tac-toe	0.71	0.83	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
unicode-test	0.99	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
use-autocomplete	0.98	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
use-autocomplete-nodelay					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
use-colorwheel	0.90	0.98	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
use-colorwheel-2	0.94	0.95	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
use-slider	0.98	0.91	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
use-slider-2	0.97	0.95	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
use-spinner	0.98	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
visual-addition	0.97	0.99	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
