task	state_bytes	question_bytes	input_tokens	outcome
vlc/8f080098-ddb1-424c-b438-4e96e5e4786e	28449	473	18349	answered
multi_apps/2b9493d7-49b8-493a-a71b-56cd1f4d6908	7695	473	4162	answered
vs_code/7aeae0e2-70ee-4705-821d-1bba5d5b2ddd	43500	473	28288	answered
multi_apps/4c26e3f3-3a14-4d86-b44a-d3cedebbb487	24645	473	15734	answered
multi_apps/91190194-f406-4cd6-b3f9-c43fac942b22	13266	473	8351	answered
os/5812b315-e7bd-4265-b51f-863c02174c28	14151	473	8235	answered
vlc/215dfd39-f493-4bc3-a027-8a97d72c61bf	20431	473	13375	answered
thunderbird/9bc3cc16-074a-45ac-9bdc-b2a362e1daf3	11648	473	7254	answered
vlc/8d9fd4e2-6fdb-46b0-b9b9-02f06495c62f	11943	473	7644	answered
libreoffice_impress/ef9d12bd-bcee-4ba0-a40e-918400f43ddf	6228	473	3538	answered
multi_apps/e135df7c-7687-4ac0-a5f0-76b74438b53e	13280	473	8350	answered
multi_apps/09a37c51-e625-49f4-a514-20a773797a8a	45049	473	29613	answered
libreoffice_calc/51b11269-2ca8-4b2a-9163-f21758420e78	15129	473	9775	answered
libreoffice_calc/21df9241-f8d7-4509-b7f1-37e501a823f7	18929	473	12223	answered
multi_apps/acb0f96b-e27c-44d8-b55f-7cb76609dfcd	5339	473	3099	answered
multi_apps/51f5801c-18b3-4f25-b0c3-02f85507a078	17421	473	10476	answered
multi_apps/f918266a-b3e0-4914-865d-4faa564f1aef	12639	473	7817	answered
os/a4d98375-215b-4a4d-aee9-3d4370fccc41	10077	473	6030	answered
chrome/368d9ba4-203c-40c1-9fa3-da2f1430ce63	14352	473	8772	answered
libreoffice_writer/8472fece-c7dd-4241-8d65-9b3cd1a0b568	33298	473	21467	answered
vlc/386dbd0e-0241-4a0a-b6a2-6704fba26b1c	24942	473	15946	answered
multi_apps/c2751594-0cd5-4088-be1b-b5f2f9ec97c4	22058	473	14015	answered
libreoffice_impress/ed43c15f-00cb-4054-9c95-62c880865d68	28710	473	19365	answered
vs_code/9439a27b-18ae-42d8-9778-5f68f891805e	7980	473	4517	answered
libreoffice_impress/04578141-1d42-4146-b9cf-6fab4ce5fd74	38513	473	25512	answered
